Length(mm) ,Width(mm),Freq (GHz),S11(dB)
2.81,3.5085,33.75,-31.70683
2.809,3.5074,33.76,-27.48677
2.808,3.5062,33.77,-27.23326
2.807,3.5051,33.78,-26.97975
2.806,3.504,33.79,-26.72624
2.805,3.5029,33.8,-26.47273
2.804,3.5018,33.81,-26.21922
2.803,3.5006,33.82,-25.96571
2.802,3.4995,33.83,-25.7122
2.802,3.4984,33.84,-25.45869
2.801,3.4973,33.85,-25.20518
2.8,3.4961,33.86,-24.95167
2.799,3.495,33.87,-24.69816
2.798,3.4939,33.88,-24.44465
2.797,3.4928,33.89,-24.19114
2.796,3.4917,33.9,-23.93763
2.795,3.4905,33.91,-23.68412
2.794,3.4894,33.92,-23.43061
2.793,3.4883,33.93,-23.1771
2.792,3.4872,33.94,-22.92359
2.791,3.486,33.95,-22.67008
2.79,3.4849,33.96,-22.41657
2.789,3.4838,33.97,-22.16306
2.788,3.4827,33.98,-21.90955
2.787,3.4816,33.99,-21.65604
2.786,3.4804,34,-21.40253
2.785,3.4793,34.01,-21.14902
2.784,3.4782,34.02,-20.89551
2.783,3.4771,34.03,-20.642
2.782,3.4759,34.04,-20.38849
2.781,3.4748,34.05,-20.13498
2.78,3.4737,34.06,-19.88147
2.779,3.4726,34.07,-19.62796
2.778,3.4714,34.08,-19.37445
2.777,3.4703,34.09,-19.12094
2.776,3.4692,34.1,-18.86743
2.775,3.4681,34.11,-18.61392
2.774,3.467,34.12,-18.36041
2.773,3.4658,34.13,-18.1069
2.772,3.4647,34.14,-17.85339
2.771,3.4636,34.15,-17.59988
2.771,3.4625,34.16,-17.34637
2.77,3.4613,34.17,-17.09286
2.769,3.4602,34.18,-16.83935
2.768,3.4591,34.19,-16.58584
2.767,3.458,34.2,-16.33233
2.766,3.4569,34.21,-16.07882
2.765,3.4557,34.22,-15.82531
2.764,3.4546,34.23,-15.5718
2.763,3.4535,34.24,-15.31829
2.762,3.4524,34.25,-15.06478
2.761,3.4512,34.26,-14.81127
2.76,3.4501,34.27,-14.55776
2.759,3.449,34.28,-14.30425
2.758,3.4479,34.29,-14.05074
2.757,3.4468,34.3,-13.79723
2.756,3.4456,34.31,-12.06294
2.755,3.4445,34.32,-12.09583
2.754,3.4434,34.33,-12.12872
2.753,3.4423,34.34,-12.16161
2.752,3.4411,34.35,-12.1945
2.751,3.44,34.36,-12.22739
2.75,3.4389,34.37,-12.26028
2.749,3.4378,34.38,-12.29317
2.748,3.4367,34.39,-12.32606
2.747,3.4355,34.4,-12.35895
2.746,3.4344,34.41,-12.39184
2.745,3.4333,34.42,-12.42473
2.744,3.4322,34.43,-12.45762
2.743,3.431,34.44,-12.49051
2.742,3.4299,34.45,-12.5234
2.741,3.4288,34.46,-12.55629
2.74,3.4277,34.47,-12.58918
2.74,3.4266,34.48,-12.62207
2.739,3.4254,34.49,-12.65496
2.738,3.4243,34.5,-12.68785
2.737,3.4232,34.51,-12.72074
2.736,3.4221,34.52,-12.75363
2.735,3.4209,34.53,-12.78652
2.734,3.4198,34.54,-12.81941
2.733,3.4187,34.55,-12.8523
2.732,3.4176,34.56,-12.88519
2.731,3.4165,34.57,-12.91808
2.73,3.4153,34.58,-12.95097
2.729,3.4142,34.59,-12.98386
2.728,3.4131,34.6,-13.01675
2.727,3.412,34.61,-13.04964
2.726,3.4108,34.62,-13.08253
2.725,3.4097,34.63,-13.11542
2.724,3.4086,34.64,-13.14831
2.723,3.4075,34.65,-13.1812
2.722,3.4064,34.66,-13.21409
2.721,3.4052,34.67,-13.24698
2.72,3.4041,34.68,-13.27987
2.719,3.403,34.69,-13.31276
2.718,3.4019,34.7,-13.34565
2.717,3.4007,34.71,-13.37854
2.716,3.3996,34.72,-13.41143
2.715,3.3985,34.73,-13.44432
2.714,3.3974,34.74,-13.47721
2.713,3.3963,34.75,-13.5101
2.712,3.3951,34.76,-13.54299
2.711,3.394,34.77,-13.57588
2.71,3.3929,34.78,-13.60877
2.709,3.3918,34.79,-13.64166
2.708,3.3906,34.8,-13.67455
2.708,3.3895,34.81,-13.70744
2.707,3.3884,34.82,-13.74033
2.706,3.3873,34.83,-13.77322
2.705,3.3862,34.84,-13.80611
2.704,3.385,34.85,-13.839
2.703,3.3839,34.86,-13.87189
2.702,3.3828,34.87,-13.90478
2.701,3.3817,34.88,-13.93767
2.7,3.3805,34.89,-13.97056
2.699,3.3794,34.9,-14.00345
2.698,3.3783,34.91,-14.03634
2.697,3.3772,34.92,-14.06923
2.696,3.376,34.93,-14.10212
2.695,3.3749,34.94,-14.13501
2.694,3.3738,34.95,-14.1679
2.693,3.3727,34.96,-14.20079
2.692,3.3716,34.97,-14.23368
2.691,3.3704,34.98,-14.26657
2.69,3.3693,34.99,-14.29946
2.689,3.3682,35,-14.33235
2.688,3.3671,35.01,-14.36524
2.687,3.3659,35.02,-14.39813
2.686,3.3648,35.03,-14.43102
2.685,3.3637,35.04,-14.46391
2.684,3.3626,35.05,-14.4968
2.683,3.3615,35.06,-14.52969
2.682,3.3603,35.07,-14.56258
2.681,3.3592,35.08,-14.59547
2.68,3.3581,35.09,-14.62836
2.679,3.357,35.1,-14.66125
2.678,3.3558,35.11,-14.69414
2.677,3.3547,35.12,-14.72703
2.677,3.3536,35.13,-14.75992
2.676,3.3525,35.14,-14.79281
2.675,3.3514,35.15,-14.8257
2.674,3.3502,35.16,-14.85859
2.673,3.3491,35.17,-14.89148
2.672,3.348,35.18,-14.92437
2.671,3.3469,35.19,-14.95726
2.67,3.3457,35.2,-14.99015
2.669,3.3446,35.21,-15.02304
2.668,3.3435,35.22,-15.05593
2.667,3.3424,35.23,-15.08882
2.666,3.3413,35.24,-15.12171
2.665,3.3401,35.25,-15.1546
2.664,3.339,35.26,-15.18749
2.663,3.3379,35.27,-15.22038
2.662,3.3368,35.28,-15.25327
2.661,3.3356,35.29,-15.28616
2.66,3.3345,35.3,-15.31905
2.659,3.3334,35.31,-15.35194
2.658,3.3323,35.32,-15.38483
2.657,3.3312,35.33,-15.41772
2.656,3.33,35.34,-15.45061
2.655,3.3289,35.35,-15.4835
2.654,3.3278,35.36,-15.51639
2.653,3.3267,35.37,-15.54928
2.652,3.3255,35.38,-15.58217
2.651,3.3244,35.39,-15.61506
2.65,3.3233,35.4,-15.64795
2.649,3.3222,35.41,-15.68084
2.648,3.3211,35.42,-15.71373
2.647,3.3199,35.43,-15.74662
2.646,3.3188,35.44,-15.77951
2.646,3.3177,35.45,-15.8124
2.645,3.3166,35.46,-15.84529
2.644,3.3154,35.47,-15.87818
2.643,3.3143,35.48,-15.91107
2.642,3.3132,35.49,-15.94396
2.641,3.3121,35.5,-15.97685
2.64,3.311,35.51,-16.00974
2.639,3.3098,35.52,-16.04263
2.638,3.3087,35.53,-16.07552
2.637,3.3076,35.54,-16.10841
2.636,3.3065,35.55,-16.1413
2.635,3.3053,35.56,-16.17419
2.634,3.3042,35.57,-16.20708
2.633,3.3031,35.58,-16.23997
2.632,3.302,35.59,-16.27286
2.631,3.3009,35.6,-16.30575
2.63,3.2997,35.61,-16.33864
2.629,3.2986,35.62,-16.37153
2.628,3.2975,35.63,-16.40442
2.627,3.2964,35.64,-16.43731
2.626,3.2952,35.65,-16.4702
2.625,3.2941,35.66,-16.50309
2.624,3.293,35.67,-16.53598
2.623,3.2919,35.68,-16.56887
2.622,3.2908,35.69,-16.60176
2.621,3.2896,35.7,-16.63465
2.62,3.2885,35.71,-16.66754
2.619,3.2874,35.72,-16.70043
2.618,3.2863,35.73,-16.73332
2.617,3.2851,35.74,-16.76621
2.616,3.284,35.75,-16.7991
2.615,3.2829,35.76,-16.83199
2.615,3.2818,35.77,-16.86488
2.614,3.2806,35.78,-16.89777
2.613,3.2795,35.79,-16.93066
2.612,3.2784,35.8,-16.96355
2.611,3.2773,35.81,-16.99644
2.61,3.2762,35.82,-17.02933
2.609,3.275,35.83,-17.06222
2.608,3.2739,35.84,-17.09511
2.607,3.2728,35.85,-17.128
2.606,3.2717,35.86,-17.16089
2.605,3.2705,35.87,-17.19378
2.604,3.2694,35.88,-17.22667
2.603,3.2683,35.89,-17.25956
2.602,3.2672,35.9,-17.29245
2.601,3.2661,35.91,-17.32534
2.6,3.2649,35.92,-17.35823
2.599,3.2638,35.93,-17.39112
2.598,3.2627,35.94,-17.42401
2.597,3.2616,35.95,-17.4569
2.596,3.2604,35.96,-17.48979
2.595,3.2593,35.97,-17.52268
2.594,3.2582,35.98,-17.55557
2.593,3.2571,35.99,-17.58846
2.592,3.256,36,-17.62135
2.591,3.2548,36.01,-17.65424
2.59,3.2537,36.02,-17.68713
2.589,3.2526,36.03,-17.72002
2.588,3.2515,36.04,-17.75291
2.587,3.2503,36.05,-17.7858
2.586,3.2492,36.06,-17.81869
2.585,3.2481,36.07,-17.85158
2.584,3.247,36.08,-17.88447
2.584,3.2459,36.09,-17.91736
2.583,3.2447,36.1,-17.95025
2.582,3.2436,36.11,-17.98314
2.581,3.2425,36.12,-18.01603
2.58,3.2414,36.13,-18.04892
2.579,3.2402,36.14,-18.08181
2.578,3.2391,36.15,-18.1147
2.577,3.238,36.16,-18.14759
2.576,3.2369,36.17,-18.18048
2.575,3.2358,36.18,-18.21337
2.574,3.2346,36.19,-18.24626
2.573,3.2335,36.2,-18.27915
2.572,3.2324,36.21,-18.31204
2.571,3.2313,36.22,-18.34493
2.57,3.2301,36.23,-18.37782
2.569,3.229,36.24,-18.41071
2.568,3.2279,36.25,-18.4436
2.567,3.2268,36.26,-18.47649
2.566,3.2257,36.27,-18.50938
2.565,3.2245,36.28,-18.54227
2.564,3.2234,36.29,-18.57516
2.563,3.2223,36.3,-18.60805
2.562,3.2212,36.31,-18.64094
2.561,3.22,36.32,-18.67383
2.56,3.2189,36.33,-18.70672
2.559,3.2178,36.34,-18.73961
2.558,3.2167,36.35,-18.7725
2.557,3.2156,36.36,-18.80539
2.556,3.2144,36.37,-18.83828
2.555,3.2133,36.38,-18.87117
2.554,3.2122,36.39,-18.90406
2.553,3.2111,36.4,-18.93695
2.553,3.2099,36.41,-18.96984
2.552,3.2088,36.42,-19.00273
2.551,3.2077,36.43,-19.03562
2.55,3.2066,36.44,-19.06851
2.549,3.2055,36.45,-19.1014
2.548,3.2043,36.46,-19.13429
2.547,3.2032,36.47,-19.16718
2.546,3.2021,36.48,-19.20007
2.545,3.201,36.49,-19.23296
2.544,3.1998,36.5,-19.26585
2.543,3.1987,36.51,-19.29874
2.542,3.1976,36.52,-19.33163
2.541,3.1965,36.53,-19.36452
2.54,3.1953,36.54,-19.39741
2.539,3.1942,36.55,-19.4303
2.538,3.1931,36.56,-19.46319
2.537,3.192,36.57,-19.49608
2.536,3.1909,36.58,-19.52897
2.535,3.1897,36.59,-19.56186
2.534,3.1886,36.6,-19.59475
2.533,3.1875,36.61,-19.62764
2.532,3.1864,36.62,-19.66053
2.531,3.1852,36.63,-19.69342
2.53,3.1841,36.64,-19.72631
2.529,3.183,36.65,-19.7592
2.528,3.1819,36.66,-19.79209
2.527,3.1808,36.67,-19.82498
2.526,3.1796,36.68,-19.85787
2.525,3.1785,36.69,-19.89076
2.524,3.1774,36.7,-19.92365
2.523,3.1763,36.71,-19.95654
2.522,3.1751,36.72,-19.98943
2.522,3.174,36.73,-20.02232
2.521,3.1729,36.74,-20.05521
2.52,3.1718,36.75,-20.0881
2.519,3.1707,36.76,-20.12099
2.518,3.1695,36.77,-20.15388
2.517,3.1684,36.78,-20.18677
2.516,3.1673,36.79,-20.21966
2.515,3.1662,36.8,-20.25255
2.514,3.165,36.81,-12.25956
2.513,3.1639,36.82,-12.29245
2.512,3.1628,36.83,-12.32534
2.511,3.1617,36.84,-12.35823
2.51,3.1606,36.85,-12.39112
2.509,3.1594,36.86,-12.42401
2.508,3.1583,36.87,-12.4569
2.507,3.1572,36.88,-12.48979
2.506,3.1561,36.89,-12.52268
2.505,3.1549,36.9,-12.55557
2.504,3.1538,36.91,-12.58846
2.503,3.1527,36.92,-12.62135
2.502,3.1516,36.93,-12.65424
2.501,3.1505,36.94,-12.68713
2.5,3.1493,36.95,-12.72002
2.499,3.1482,36.96,-12.75291
2.498,3.1471,36.97,-12.7858
2.497,3.146,36.98,-12.81869
2.496,3.1448,36.99,-12.85158
2.495,3.1437,37,-12.88447
2.494,3.1426,37.01,-12.91736
2.493,3.1415,37.02,-12.95025
2.492,3.1404,37.03,-12.98314
2.491,3.1392,37.04,-13.01603
2.491,3.1381,37.05,-13.04892
2.49,3.137,37.06,-13.08181
2.489,3.1359,37.07,-13.1147
2.488,3.1347,37.08,-13.14759
2.487,3.1336,37.09,-13.18048
2.486,3.1325,37.1,-13.21337
2.485,3.1314,37.11,-13.24626
2.484,3.1303,37.12,-13.27915
2.483,3.1291,37.13,-13.31204
2.482,3.128,37.14,-13.34493
2.481,3.1269,37.15,-13.37782
2.48,3.1258,37.16,-13.41071
2.479,3.1246,37.17,-13.4436
2.478,3.1235,37.18,-13.47649
2.477,3.1224,37.19,-13.50938
2.476,3.1213,37.2,-13.54227
2.475,3.1202,37.21,-13.57516
2.474,3.119,37.22,-13.60805
2.473,3.1179,37.23,-13.64094
2.472,3.1168,37.24,-13.67383
2.471,3.1157,37.25,-13.70672
2.47,3.1145,37.26,-13.73961
2.469,3.1134,37.27,-13.7725
2.468,3.1123,37.28,-13.80539
2.467,3.1112,37.29,-13.83828
2.466,3.1101,37.3,-13.87117
2.465,3.1089,37.31,-13.90406
2.464,3.1078,37.32,-13.93695
2.463,3.1067,37.33,-13.96984
2.462,3.1056,37.34,-14.00273
2.461,3.1044,37.35,-14.03562
2.46,3.1033,37.36,-19.87696
2.46,3.1022,37.37,-20.57137
2.459,3.1011,37.38,-21.26578
2.458,3.0999,37.39,-21.96019
2.457,3.0988,37.4,-22.6546
2.456,3.0977,37.41,-23.34901
2.455,3.0966,37.42,-24.04342
2.454,3.0955,37.43,-24.73783
2.453,3.0943,37.44,-25.43224
2.452,3.0932,37.45,-26.12665
2.451,3.0921,37.46,-26.82106
2.45,3.091,37.47,-27.51547
2.449,3.0898,37.48,-28.20988
2.448,3.0887,37.49,-28.90429
2.447,3.0876,37.5,-29.5987
2.446,3.0865,37.51,-30.29311
2.445,3.0854,37.52,-30.98752
2.444,3.0842,37.53,-31.68193
2.443,3.0831,37.54,-32.37634
2.442,3.082,37.55,-33.07075
2.441,3.0809,37.56,-33.76516
2.44,3.0797,37.57,-34.45957
2.439,3.0786,37.58,-35.15398
2.438,3.0775,37.59,-35.84839
2.437,3.0764,37.6,-36.5428
2.436,3.0753,37.61,-36.55344
2.435,3.0741,37.62,-36.56408
2.434,3.073,37.63,-36.57472
2.433,3.0719,37.64,-36.58536
2.432,3.0708,37.65,-36.596
2.431,3.0696,37.66,-36.60664
2.43,3.0685,37.67,-36.61728
2.429,3.0674,37.68,-36.62792
2.428,3.0663,37.69,-36.63856
2.428,3.0652,37.7,-36.6492
2.427,3.064,37.71,-36.65984
2.426,3.0629,37.72,-36.67048
2.425,3.0618,37.73,-36.68112
2.424,3.0607,37.74,-36.69176
2.423,3.0595,37.75,-36.7024
2.422,3.0584,37.76,-36.71304
2.421,3.0573,37.77,-36.72368
2.42,3.0562,37.78,-36.73432
2.419,3.0551,37.79,-36.74496
2.418,3.0539,37.8,-36.7556
2.417,3.0528,37.81,-36.76624
2.416,3.0517,37.82,-36.77688
2.415,3.0506,37.83,-36.78752
2.414,3.0494,37.84,-36.79816
2.413,3.0483,37.85,-36.8088
2.412,3.0472,37.86,-36.81944
2.411,3.0461,37.87,-36.83008
2.41,3.045,37.88,-36.84072
2.409,3.0438,37.89,-36.85136
2.408,3.0427,37.9,-36.862
2.407,3.0416,37.91,-36.87264
2.406,3.0405,37.92,-36.88328
2.405,3.0393,37.93,-36.89392
2.404,3.0382,37.94,-36.90456
2.403,3.0371,37.95,-36.9152
2.402,3.036,37.96,-36.92584
2.401,3.0349,37.97,-36.93648
2.4,3.0337,37.98,-36.94712
2.399,3.0326,37.99,-36.95776
2.398,3.0315,38,-36.9684
2.397,3.0304,38.01,-36.97904
2.397,3.0292,38.02,-36.98968
2.396,3.0281,38.03,-37.00032
2.395,3.027,38.04,-37.01096
2.394,3.0259,38.05,-37.0216
2.393,3.0248,38.06,-38.3964
2.392,3.0236,38.07,-28.06458
2.391,3.0225,38.08,-27.90316
2.39,3.0214,38.09,-27.74174
2.389,3.0203,38.1,-27.58032
2.388,3.0191,38.11,-27.4189
2.387,3.018,38.12,-27.25748
2.386,3.0169,38.13,-27.09606
2.385,3.0158,38.14,-26.93464
2.384,3.0147,38.15,-26.77322
2.383,3.0135,38.16,-26.6118
2.382,3.0124,38.17,-26.45038
2.381,3.0113,38.18,-26.28896
2.38,3.0102,38.19,-26.12754
2.379,3.009,38.2,-25.96612
2.378,3.0079,38.21,-25.8047
2.377,3.0068,38.22,-25.64328
2.376,3.0057,38.23,-25.48186
2.375,3.0045,38.24,-25.32044
2.374,3.0034,38.25,-25.15902
2.373,3.0023,38.26,-24.9976
2.372,3.0012,38.27,-24.83618
2.371,3.0001,38.28,-24.67476
2.37,2.9989,38.29,-24.51334
2.369,2.9978,38.3,-24.35192
2.368,2.9967,38.31,-24.1905
2.367,2.9956,38.32,-24.02908
2.366,2.9944,38.33,-23.86766
2.366,2.9933,38.34,-23.70624
2.365,2.9922,38.35,-23.54482
2.364,2.9911,38.36,-23.3834
2.363,2.99,38.37,-23.22198
2.362,2.9888,38.38,-23.06056
2.361,2.9877,38.39,-22.89914
2.36,2.9866,38.4,-22.73772
2.359,2.9855,38.41,-22.5763
2.358,2.9843,38.42,-22.41488
2.357,2.9832,38.43,-22.25346
2.356,2.9821,38.44,-22.09204
2.355,2.981,38.45,-21.93062
2.354,2.9799,38.46,-21.7692
2.353,2.9787,38.47,-21.60778
2.352,2.9776,38.48,-21.44636
2.351,2.9765,38.49,-21.28494
2.35,2.9754,38.5,-21.12352
2.349,2.9742,38.51,-20.9621
2.348,2.9731,38.52,-20.80068
2.347,2.972,38.53,-20.63926
2.346,2.9709,38.54,-20.47784
2.345,2.9698,38.55,-20.31642
2.344,2.9686,38.56,-20.155
2.343,2.9675,38.57,-19.99358
2.342,2.9664,38.58,-19.83216
2.341,2.9653,38.59,-19.67074
2.34,2.9641,38.6,-19.50932
2.339,2.963,38.61,-19.3479
2.338,2.9619,38.62,-16.06294
2.337,2.9608,38.63,-16.09583
2.336,2.9597,38.64,-16.12872
2.335,2.9585,38.65,-16.16161
2.335,2.9574,38.66,-16.1945
2.334,2.9563,38.67,-16.22739
2.333,2.9552,38.68,-16.26028
2.332,2.954,38.69,-16.29317
2.331,2.9529,38.7,-16.32606
2.33,2.9518,38.71,-16.35895
2.329,2.9507,38.72,-16.39184
2.328,2.9496,38.73,-16.42473
2.327,2.9484,38.74,-16.45762
2.326,2.9473,38.75,-16.49051
2.325,2.9462,38.76,-16.5234
2.324,2.9451,38.77,-16.55629
2.323,2.9439,38.78,-16.58918
2.322,2.9428,38.79,-16.62207
2.321,2.9417,38.8,-16.65496
2.32,2.9406,38.81,-16.68785
2.319,2.9395,38.82,-16.72074
2.318,2.9383,38.83,-16.75363
2.317,2.9372,38.84,-16.78652
2.316,2.9361,38.85,-16.81941
2.315,2.935,38.86,-16.8523
2.314,2.9338,38.87,-16.88519
2.313,2.9327,38.88,-16.91808
2.312,2.9316,38.89,-16.95097
2.311,2.9305,38.9,-16.98386
2.31,2.9294,38.91,-17.01675
2.309,2.9282,38.92,-17.04964
2.308,2.9271,38.93,-17.08253
2.307,2.926,38.94,-17.11542
2.306,2.9249,38.95,-17.14831
2.305,2.9237,38.96,-17.1812
2.304,2.9226,38.97,-17.21409
2.304,2.9215,38.98,-17.24698
2.303,2.9204,38.99,-17.27987
2.302,2.9193,39,-17.31276
2.301,2.9181,39.01,-17.34565
2.3,2.917,39.02,-17.37854
2.299,2.9159,39.03,-17.41143
2.298,2.9148,39.04,-17.44432
2.297,2.9136,39.05,-17.47721
2.296,2.9125,39.06,-17.5101
2.295,2.9114,39.07,-17.54299
2.294,2.9103,39.08,-17.57588
2.293,2.9091,39.09,-17.60877
2.292,2.908,39.1,-17.64166
2.291,2.9069,39.11,-17.67455
2.29,2.9058,39.12,-17.70744
2.289,2.9047,39.13,-17.74033
2.288,2.9035,39.14,-17.77322
2.287,2.9024,39.15,-17.80611
2.286,2.9013,39.16,-17.839
2.285,2.9002,39.17,-17.87189
2.284,2.899,39.18,-17.90478
2.283,2.8979,39.19,-17.93767
2.282,2.8968,39.2,-17.97056
2.281,2.8957,39.21,-18.00345
2.28,2.8946,39.22,-18.03634
2.279,2.8934,39.23,-18.06923
2.278,2.8923,39.24,-18.10212
2.277,2.8912,39.25,-18.13501
2.276,2.8901,39.26,-18.1679
2.275,2.8889,39.27,-18.20079
2.274,2.8878,39.28,-18.23368
2.273,2.8867,39.29,-18.26657
2.273,2.8856,39.3,-18.29946
2.272,2.8845,39.31,-18.33235
2.271,2.8833,39.32,-18.36524
2.27,2.8822,39.33,-18.39813
2.269,2.8811,39.34,-18.43102
2.268,2.88,39.35,-18.46391
2.267,2.8788,39.36,-18.4968
2.266,2.8777,39.37,-18.52969
2.265,2.8766,39.38,-18.56258
2.264,2.8755,39.39,-18.59547
2.263,2.8744,39.4,-18.62836
2.262,2.8732,39.41,-18.66125
2.261,2.8721,39.42,-18.69414
2.26,2.871,39.43,-18.72703
2.259,2.8699,39.44,-18.75992
2.258,2.8687,39.45,-18.79281
2.257,2.8676,39.46,-18.8257
2.256,2.8665,39.47,-18.85859
2.255,2.8654,39.48,-18.89148
2.254,2.8643,39.49,-18.92437
2.253,2.8631,39.5,-18.95726
2.252,2.862,39.51,-18.99015
2.251,2.8609,39.52,-19.02304
2.25,2.8598,39.53,-19.05593
2.249,2.8586,39.54,-19.08882
2.248,2.8575,39.55,-19.12171
2.247,2.8564,39.56,-19.1546
2.246,2.8553,39.57,-19.18749
2.245,2.8542,39.58,-19.22038
2.244,2.853,39.59,-19.25327
2.243,2.8519,39.6,-19.28616
2.242,2.8508,39.61,-19.31905
2.242,2.8497,39.62,-19.35194
2.241,2.8485,39.63,-19.38483
2.24,2.8474,39.64,-19.41772
2.239,2.8463,39.65,-19.45061
2.238,2.8452,39.66,-19.4835
2.237,2.8441,39.67,-19.51639
2.236,2.8429,39.68,-19.54928
2.235,2.8418,39.69,-19.58217
2.234,2.8407,39.7,-19.61506
2.233,2.8396,39.71,-19.64795
2.232,2.8384,39.72,-19.68084
2.231,2.8373,39.73,-19.71373
2.23,2.8362,39.74,-19.74662
2.229,2.8351,39.75,-19.77951
2.228,2.834,39.76,-19.8124
2.227,2.8328,39.77,-19.84529
2.226,2.8317,39.78,-19.87818
2.225,2.8306,39.79,-19.91107
2.224,2.8295,39.8,-19.94396
2.223,2.8283,39.81,-19.97685
2.222,2.8272,39.82,-20.00974
2.221,2.8261,39.83,-20.04263
2.22,2.825,39.84,-20.07552
2.219,2.8238,39.85,-20.10841
2.218,2.8227,39.86,-20.1413
2.217,2.8216,39.87,-20.17419
